Name	X	Y	Size
00	0	0	0.0625
01	0.0625	0	0.0625
02	0.125	0	0.0625
03	0.1875	0	0.0625
04	0.25	0	0.0625
05	0.3125	0	0.0625
06	0.375	0	0.0625
07	0.4375	0	0.0625
08	0.5	0	0.0625
09	0.5625	0	0.0625
10	0.625	0	0.0625
11	0.6875	0	0.0625
12	0.75	0	0.0625
13	0.8125	0	0.0625
14	0.875	0	0.0625
15	0.9375	0	0.0625
16	0	0.0625	0.0625
17	0.0625	0.0625	0.0625
18	0.125	0.0625	0.0625
19	0.1875	0.0625	0.0625
20	0.25	0.0625	0.0625
21	0.3125	0.0625	0.0625
22	0.375	0.0625	0.0625
23	0.4375	0.0625	0.0625
24	0.5	0.0625	0.0625
25	0.5625	0.0625	0.0625
26	0.625	0.0625	0.0625
27	0.6875	0.0625	0.0625
28	0.75	0.0625	0.0625
29	0.8125	0.0625	0.0625
30	0.875	0.0625	0.0625
31	0.9375	0.0625	0.0625
32	0	0.125	0.0625
33	0.0625	0.125	0.0625
34	0.125	0.125	0.0625
35	0.1875	0.125	0.0625
36	0.25	0.125	0.0625
37	0.3125	0.125	0.0625
38	0.375	0.125	0.0625
39	0.4375	0.125	0.0625
40	0.5	0.125	0.0625
41	0.5625	0.125	0.0625
42	0.625	0.125	0.0625
43	0.6875	0.125	0.0625
44	0.75	0.125	0.0625
45	0.8125	0.125	0.0625
46	0.875	0.125	0.0625
47	0.9375	0.125	0.0625
48	0	0.1875	0.0625
49	0.0625	0.1875	0.0625
50	0.125	0.1875	0.0625
51	0.1875	0.1875	0.0625
52	0.25	0.1875	0.0625
53	0.3125	0.1875	0.0625
54	0.375	0.1875	0.0625
55	0.4375	0.1875	0.0625
56	0.5	0.1875	0.0625
57	0.5625	0.1875	0.0625
58	0.625	0.1875	0.0625
59	0.6875	0.1875	0.0625
60	0.75	0.1875	0.0625
